payment_id,reference_type,reference_id,payment_date,amount,method
100001,service,80004,2026-04-22,6146.1,financing
100002,service,80005,2025-08-31,11655.3,check
100003,service,80006,2026-03-22,6016.45,check
100004,service,80008,2025-10-14,716.85,check
100005,service,80013,2024-10-28,2048.48,financing
100006,service,80015,2026-03-26,4525.3,card
100007,service,80017,2025-06-23,7553.43,check
100008,service,80019,2024-09-21,3426.22,check
100009,service,80023,2024-10-12,1687.48,cash
100010,service,80025,2025-04-02,2933.62,cash
100011,service,80025,2025-04-02,2933.62,financing
100012,service,80029,2024-07-24,1340.29,check
100013,service,80030,2024-12-01,5245.82,cash
100014,service,80030,2024-12-01,5245.82,cash
100015,service,80034,2025-10-17,980.66,financing
100016,service,80034,2025-10-17,980.66,cash
100017,service,80035,2026-05-30,6515.36,check
100018,service,80036,2026-04-24,321.2,check
100019,service,80036,2026-04-24,318.66,financing
100020,service,80037,2024-12-09,2057.85,card
100021,service,80040,2024-09-30,601.75,cash
100022,service,80040,2024-09-30,601.75,financing
100023,service,80042,2025-02-26,988.73,card
100024,service,80042,2025-02-26,988.73,financing
100025,service,80048,2025-01-26,394.58,card
100026,service,80048,2025-01-26,394.58,cash
100027,service,80050,2026-01-04,7239.13,check
100028,service,80050,2026-01-04,7239.13,card
100029,service,80052,2026-05-16,751.58,financing
100030,service,80052,2026-05-16,751.58,card
100031,service,80053,2024-10-15,1349.04,financing
100032,service,80057,2025-06-05,891.52,financing
100033,service,80058,2025-02-13,169.57,check
100034,service,80060,2025-10-21,1165.45,check
100035,service,80061,2024-11-01,822.88,financing
100036,service,80061,2024-11-01,822.88,financing
100037,service,80062,2025-07-10,1795.58,card
100038,service,80062,2025-07-10,1795.58,card
100039,service,80063,2025-05-28,17911.92,cash
100040,service,80065,2026-04-11,3646.56,card
100041,service,80066,2024-11-24,8488.43,cash
100042,service,80067,2025-09-02,4460.28,financing
100043,service,80070,2025-07-08,2833.74,card
100044,service,80071,2025-04-26,631.84,card
100045,service,80073,2025-10-09,6565.95,financing
100046,service,80077,2026-02-16,472.4,card
100047,service,80080,2025-11-01,2023.83,card
100048,service,80081,2025-08-05,1041.81,cash
100049,service,80081,2025-08-05,1041.81,card
100050,service,80084,2026-03-09,1783.04,financing
100051,service,80085,2025-10-31,9006.5,financing
100052,service,80086,2025-05-13,121.22,card
100053,service,80087,2026-04-09,7444.76,check
100054,service,80088,2026-05-17,2766.8,check
100055,service,80088,2026-05-17,2766.8,check
100056,service,80089,2024-12-14,1828.85,card
100057,service,80089,2024-12-14,1828.85,check
100058,service,80090,2026-06-14,6678.7,cash
100059,service,80092,2025-04-17,1127.69,cash
100060,service,80092,2025-04-17,1127.69,card
100061,service,80094,2025-04-13,855.88,check
100062,service,80096,2024-10-28,4167.74,cash
100063,service,80097,2026-06-18,1439.82,financing
100064,service,80099,2026-02-18,5036.5,card
100065,service,80100,2026-03-23,4914.63,financing
100066,service,80102,2024-12-16,4331.76,check
100067,service,80103,2026-04-06,697.46,financing
100068,service,80103,2026-04-06,697.46,check
100069,service,80110,2026-06-13,2519.01,check
100070,service,80110,2026-06-13,2519.01,cash
100071,service,80111,2024-09-29,4183.96,financing
100072,service,80111,2024-09-29,4183.96,cash
100073,service,80113,2024-08-16,4487.52,card
100074,service,80115,2025-07-15,2103.72,card
100075,service,80116,2026-06-08,1046.88,cash
100076,service,80118,2025-12-23,1948.23,card
100077,service,80118,2025-12-23,1948.23,cash
100078,service,80119,2026-06-12,2895.73,card
100079,service,80120,2026-04-05,723.07,card
