transaction_id,vehicle_id,customer_id,salesperson_id,dealership_id,sale_date,sale_price,trade_in_vehicle_id,financing_type,sale_status
60001,50007,12747,2012,1001,2026-01-26,18664.5,,leasee,completed
60002,50173,11820,2001,1004,2025-10-19,39922.62,54002,LEASE,completed
60003,50939,12285,2009,1006,2026-06-04,32456.06,,cash,completed
60004,53626,12847,2014,1006,2024-07-06,29706.08,,finance ,completed
60005,51269,10288,2013,1003,2024-09-06,27769.7,52252,Lease,completed
60006,52682,13366,2022,1002,2025-02-26,16226.24,,finance ,completed
60007,51714,14301,2024,1003,2026-06-02,23192.44,,cash,completed
60008,52089,13992,2006,1003,2025-04-12,14358.38,50214,Cash,completed
60009,51181,11292,2001,1005,2026-03-27,34989.46,,Cash,completed
60010,52674,13932,2021,1001,2023-11-30,54248.12,,Lease,completed
60011,51413,13416,2016,1006,2024-07-11,47043.03,,finance,completed
60012,52362,11840,2030,1006,2024-12-19,30085.82,,lease,completed
60013,52860,14420,2025,1006,2026-06-26,21780.29,,Lease,completed
60014,50041,13326,2007,1001,2026-05-03,46028.86,,Lease,completed
60015,51624,14466,2004,1003,2025-04-27,27985.07,53433,Cash,completed
60016,51670,10574,2019,1002,2026-04-24,35572.14,,LEASE,completed
60017,52897,12722,2009,1003,2026-01-15,41686.97,,finance,completed
60018,52867,12116,2008,1006,2026-05-15,11891.18,,finance ,completed
60019,50342,10831,2021,1004,2026-06-17,24555.7,,cash,completed
60020,51400,11003,2024,1005,2026-07-04,10050.85,,FINANCE,completed
60021,52193,14189,2001,1003,2025-10-01,23012.7,51352,cash,completed
60022,54028,11973,2007,1003,2026-06-10,28503.67,,cash ,completed
60023,52829,12417,2005,1002,2025-10-25,30307.15,,finance,completed
60024,50676,11477,2030,1002,2025-11-30,26742.92,,finance ,completed
60025,53502,11314,2005,1005,2025-05-04,49107.6,,finance,completed
60026,53795,12387,2020,1006,2026-02-24,15269.93,,Finance,completed
60027,51564,13492,2010,1004,2024-11-20,49530.25,,finance ,completed
60028,52512,13052,2023,1001,2026-05-29,52895.06,,cash ,completed
60029,777777777,14150,2025,1006,2024-07-08,18322.39,53839,lease ,completed
60030,53491,14298,2023,1006,2026-06-11,40047.56,53241,cash,completed
60031,53249,11400,2002,1005,2026-01-18,52874.15,,Cash,completed
60032,51574,13575,2028,1002,2026-05-21,43932.22,,CASH,completed
60033,51009,13931,2030,1004,2026-06-17,24888.11,,finance ,completed
60034,53403,12209,2020,1001,2025-09-08,51697.25,,cash ,completed
60035,51136,10329,2010,1003,2025-12-29,18816.28,,LEASE,completed
60036,54040,12079,2008,1005,2025-10-06,36066.19,,cash,completed
60037,51100,11281,2008,1003,2026-06-06,13746.58,,leasee,completed
60038,52597,13166,2022,1001,2025-12-25,44863.78,,CASH,completed
60039,52172,12990,2016,1002,2026-07-06,31052.59,,finance ,completed
60040,51076,14438,2013,1005,2025-04-22,8987.45,,leasee,completed
60041,50163,999999999,2004,1006,2024-10-13,39520.42,,cash,completed
60042,52642,11335,2002,1006,2026-05-18,30484.3,,cash,completed
60043,51672,14601,2010,1001,2025-10-26,33214.1,,leasee,completed
60044,51986,13558,2011,1006,2026-06-06,27995.45,,Finance,completed
60045,51647,13359,2014,1005,2026-04-25,35790.22,,finance ,completed
60046,51041,14066,2028,1005,2026-05-25,37831.26,,CASH,completed
60047,53294,14965,2015,1002,2025-12-22,49338.06,,cash,completed
60048,51646,12413,2012,1002,2026-05-16,28800.07,,lease ,completed
60049,51910,13672,2020,1002,2024-10-12,46936.89,50989,Finance,completed
60050,51905,13201,2006,1006,2024-12-01,43210.48,,LEASE,completed
60051,51434,10653,2026,1003,2025-08-24,13487.8,,Cash,completed
60052,54032,13917,2016,1004,2024-07-11,16776.79,,cash ,completed
60053,51693,13182,2027,1002,2026-06-19,17854.42,50669,Lease,completed
60054,52182,10724,2025,1004,2026-02-16,36519.49,,lease ,completed
60055,52252,13433,2023,1003,2026-06-22,27526.45,,Lease,completed
60056,50443,12642,2018,1002,2026-05-15,40348.47,,finance,completed
60057,50382,12344,2023,1002,2024-10-15,9582.39,,lease,completed
60058,52411,11753,2026,1006,2023-11-28,47386.05,,finance,completed
60059,51562,11719,2012,1002,2025-12-05,44793.07,,CASH,completed
60060,52637,15196,2016,1004,2024-01-21,11637.33,52082,LEASE,completed
60061,51831,10896,2029,1001,2025-09-24,17796.52,,finance,completed
60062,777777777,12126,2001,1004,2024-10-15,33315.21,,finance ,completed
60063,51860,10236,2014,1001,2024-05-18,51676.14,,Lease,completed
60064,51299,10126,2009,1003,2026-01-22,41431.86,53207,finance ,completed
60065,51025,10400,2004,1006,2026-07-02,35677.9,,finance ,completed
60066,52873,12549,2029,1002,2026-06-22,10686.66,,cash,completed
60067,777777777,13700,2019,1003,2025-05-05,53290.72,,Lease,completed
60068,52397,14461,2002,1006,2026-05-20,14269.64,,cash,completed
60069,50466,14422,2016,1001,2026-04-24,43278.09,,cash,completed
60070,53561,13320,2014,1003,2026-03-11,33847.43,,Finance,completed
60071,52130,12277,2001,1005,2026-04-05,28973.88,,Lease,completed
60072,51410,13408,2030,1006,2025-10-13,34881.48,,Finance,completed
60073,50247,11035,2024,1005,2025-02-06,44237.38,,finance,completed
60074,52714,14165,2022,1006,2025-04-22,21890.17,,cash ,completed
60075,54036,11518,2004,1002,2026-03-24,48920.26,51501,FINANCE,completed
60076,51271,15142,2016,1003,2024-04-17,42241.59,50261,cash,completed
60077,53977,12062,2014,1005,2024-06-08,27591.86,,CASH,completed
60078,50113,15082,2021,1003,2024-05-09,27715.79,,Finance,completed
60079,53187,10584,2006,1004,2026-04-18,12015.0,,lease ,completed
60080,51796,10971,2019,1002,2025-09-30,32047.69,50583,finance,completed
60081,51572,14898,2025,1004,2026-04-18,43336.27,53873,lease ,completed
60082,51939,11834,2025,1001,2026-06-26,44836.99,,FINANCE,completed
60083,50245,10882,2017,1006,2026-02-07,52637.28,52837,CASH,completed
60084,52199,10306,2023,1002,2025-01-02,35554.39,,cash ,completed
60085,53258,11385,2024,1002,2026-04-16,41665.02,,cash,completed
60086,51941,14986,2023,1002,2026-06-01,19640.06,,LEASE,completed
60087,53848,11609,2012,1002,2025-06-15,30754.94,,leasee,completed
60088,50944,11286,2004,1002,2023-12-11,32836.81,53344,finance ,completed
60089,50168,10829,2030,1002,2026-03-30,52678.39,,Finance,completed
60090,53773,12995,2004,1005,2025-02-13,46944.79,,Cash,completed
60091,50238,14074,2010,1006,2023-09-26,44365.12,,leasee,completed
60092,53017,10377,2006,1005,2024-04-27,12979.75,,cash,completed
60093,51721,10982,2001,1005,2025-07-21,10928.08,,leasee,completed
60094,53769,10319,2008,1005,2026-01-14,44947.76,53466,LEASE,completed
60095,52377,10812,2009,1001,2025-09-21,16021.01,,leasee,completed
60096,777777777,10212,2022,1005,2026-02-14,48165.03,,Cash,completed
60097,51845,12026,2015,1003,2025-12-09,48648.78,51073,finance ,completed
60098,50759,10386,2022,1004,2026-06-22,42252.98,,Finance,completed
60099,50664,13281,2011,1005,2026-03-10,11308.44,53254,Finance,completed
60100,53018,10224,2010,1003,2025-02-07,10700.4,,lease ,completed
60101,52908,13607,2018,1005,2026-06-10,13694.6,,cash ,completed
60102,53146,11864,2026,1001,2024-11-30,35566.5,,Lease,completed
60103,50021,999999999,2026,1002,2025-05-10,38419.5,,finance,completed
60104,50427,11579,2009,1005,2024-06-01,57167.55,,Cash,completed
60105,52170,13159,2022,1006,2025-07-25,29761.75,50567,cash,completed
60106,52318,10429,2004,1006,2024-12-28,32074.95,,finance,completed
60107,51826,11626,2016,1003,2025-08-14,17017.67,,Lease,completed
60108,53033,11578,2005,1006,2026-05-04,16119.6,,Finance,completed
60109,53430,11770,2026,1001,2026-02-17,18099.41,,FINANCE,completed
60110,52372,13682,2021,1002,2026-06-08,15855.95,52021,finance,completed
60111,50495,11901,2001,1006,2025-08-02,27719.47,53780,Lease,completed
60112,51722,11337,2022,1005,2025-06-25,39486.0,,FINANCE,completed
60113,50114,13850,2023,1006,2025-06-24,42091.52,,finance,completed
60114,52793,12438,2012,1005,2025-01-29,12885.22,,Cash,completed
60115,53858,12051,2011,1001,2026-06-27,13043.42,51897,CASH,completed
60116,52507,12478,2011,1001,2026-04-03,49134.33,,leasee,completed
60117,50456,11371,2004,1006,2026-04-16,18261.15,,finance,completed
60118,777777777,13824,2002,1002,2026-04-26,18169.81,,finance,completed
60119,53872,15115,2025,1003,2025-10-07,12763.48,50785,finance,completed
60120,51080,10082,2008,1001,2025-10-24,37064.03,52060,cash,completed
60121,53637,13769,2022,1001,2026-03-07,46113.15,53341,LEASE,completed
60122,53878,11538,2005,1001,2025-05-29,41228.64,,cash ,completed
60123,53922,10345,2025,1001,2024-02-05,11712.96,,finance,completed
60124,53826,15137,2030,1006,2026-02-28,51495.53,,lease ,completed
60125,50097,14148,2029,1001,2025-08-24,47956.34,,FINANCE,completed
60126,53205,10725,2027,1002,2026-05-11,38286.02,,Finance,completed
60127,52715,12690,2002,1003,2025-08-23,43187.28,,cash,completed
60128,51245,14009,2013,1006,2026-04-26,40595.17,,LEASE,completed
60129,50243,999999999,2002,1003,2025-04-17,47997.45,,FINANCE,completed
60130,52412,14315,2019,1001,2025-11-22,26507.55,,finance ,completed
60131,51007,11948,2020,1002,2025-06-19,17559.92,,CASH,completed
60132,52233,14258,2022,1001,2025-12-30,13842.86,,finance,completed
60133,50753,10521,2017,1006,2025-06-30,31406.59,,cash,completed
60134,51531,11224,2018,1001,2025-11-01,10395.55,,cash,completed
60135,50023,14468,2017,1002,2026-06-27,41017.52,,LEASE,completed
60136,52799,14199,2026,1006,2026-05-06,28136.4,,Cash,completed
60137,52062,10351,2019,1004,2024-04-21,42259.0,,finance,completed
60138,52733,11605,2027,1002,2025-09-14,25661.01,,FINANCE,completed
60139,53274,13763,2024,1002,2025-01-01,19678.75,,finance ,completed
60140,51466,11073,2021,1006,2025-10-06,46478.43,,lease ,completed
60141,50821,13060,2027,1002,2025-12-23,41278.52,,Finance,completed
60142,54012,14807,2022,1003,2025-12-13,45438.91,,cash,completed
60143,53185,10085,2020,1002,2026-04-16,46818.69,,CASH,completed
60144,52474,13052,2023,1005,2025-09-01,24669.75,,Finance,completed
60145,50609,12821,2028,1002,2025-09-21,18439.76,,cash ,completed
60146,51555,14689,2012,1006,2026-03-28,29094.88,,Cash,completed
60147,51679,12616,2016,1004,2026-06-16,27194.82,,finance,completed
60148,51367,11748,2007,1004,2025-10-12,53185.14,,cash,completed
60149,51479,14295,2018,1006,2025-12-13,34814.63,53548,finance,completed
60150,50205,11203,2021,1005,2025-05-21,23266.78,51339,finance ,completed
60151,50432,10588,2005,1003,2026-04-05,39156.78,,Lease,completed
60152,52699,10579,2005,1003,2026-01-22,38802.55,,FINANCE,completed
60153,53523,14056,2009,1004,2025-08-02,20893.28,50980,cash,completed
60154,52969,14620,2030,1003,2026-02-06,13675.96,,Lease,completed
60155,51992,14789,2008,1005,2025-09-06,24111.66,,Cash,completed
60156,53326,12894,2026,1003,2026-03-20,25440.63,,finance ,completed
60157,52851,10145,2016,1003,2025-07-11,14752.5,51382,LEASE,completed
60158,53807,14840,2020,1004,2025-08-04,32506.56,50571,leasee,completed
60159,52815,14692,2012,1006,2026-07-01,45433.33,52255,cash ,completed
60160,53671,12819,2020,1001,2024-10-27,9333.57,,Cash,completed
60161,51890,14502,2028,1004,2026-07-01,34601.59,50603,Cash,completed
60162,53376,10983,2009,1003,2024-07-23,16918.56,,cash,completed
60163,51946,11728,2014,1004,2025-11-25,42777.7,,Finance,completed
60164,50791,13279,2004,1005,2026-06-08,27903.12,,LEASE,completed
60165,53799,12401,2005,1004,2024-12-18,24484.74,53708,Cash,completed
60166,51273,10852,2022,1004,2024-04-09,56141.27,,lease ,completed
60167,53222,11718,2027,1003,2025-11-11,49207.8,,finance ,completed
60168,50844,13353,2027,1005,2024-12-26,54707.55,,cash ,completed
60169,52073,14096,2024,1001,2026-07-03,41336.47,,finance,completed
60170,50395,12349,2026,1003,2024-09-18,19228.33,,FINANCE,completed
60171,51296,11585,2003,1002,2026-04-28,29697.19,,cash ,completed
60172,51496,13200,2005,1003,2025-11-16,36155.28,,CASH,completed
60173,50375,13836,2013,1001,2025-03-06,41976.09,,lease,completed
60174,50213,13090,2026,1003,2026-01-18,50367.46,,cash ,completed
60175,50349,13914,2027,1003,2026-07-03,31345.11,,lease,completed
60176,53498,10308,2015,1005,2024-10-21,21197.51,,cash,completed
60177,53327,12017,2016,1002,2025-08-21,41522.38,,cash,completed
60178,53957,12338,2018,1001,2024-02-21,15406.62,,FINANCE,completed
60179,51203,14757,2027,1006,2025-06-05,27293.6,51968,lease ,completed
60180,50889,11023,2019,1001,2025-07-14,38051.36,,leasee,completed
60181,51497,14965,2020,1002,2025-07-04,37360.18,,cash ,completed
60182,53198,14447,2020,1005,2026-06-07,45475.66,,lease ,completed
60183,53953,14656,2005,1006,2024-05-30,46028.1,,Lease,completed
60184,51769,12302,2009,1004,2026-04-06,37792.93,,leasee,completed
60185,50552,11197,2016,1001,2024-11-07,26772.0,53630,cash ,completed
60186,50922,12587,2028,1002,2025-09-15,47167.49,,cash,completed
60187,51636,10069,2022,1003,2026-03-09,35441.87,53961,Cash,completed
60188,53772,10607,2006,1002,2025-06-20,33446.9,52834,cash,completed
60189,53884,12632,2020,1004,2024-08-06,23986.71,,leasee,completed
60190,53533,14734,2005,1002,2026-06-25,56552.34,50446,LEASE,completed
60191,52056,13553,2029,1004,2025-10-16,40655.58,50791,lease ,completed
60192,50572,13329,2026,1001,2026-06-21,34802.3,,Cash,completed
60193,51412,13922,2003,1005,2024-03-19,28688.91,,lease,completed
60194,52041,12993,2002,1002,2026-06-16,49517.3,,LEASE,completed
60195,53655,11937,2024,1006,2026-03-31,14938.59,,Lease,completed
60196,51805,12332,2021,1002,2025-03-21,38027.17,,FINANCE,completed
60197,53627,10921,2017,1005,2024-10-09,44061.37,53135,LEASE,completed
60198,53861,14700,2002,1004,2025-03-03,36962.89,50085,Cash,completed
60199,51576,12327,2023,1001,2026-02-12,19196.31,,lease,completed
60200,50046,12520,2016,1005,2026-01-23,12268.18,,leasee,completed
60201,53118,11768,2012,1006,2026-05-07,31182.44,51868,CASH,completed
60202,52159,10343,2013,1005,2026-07-01,36199.01,,finance ,completed
60203,51161,14556,2019,1004,2025-12-18,33434.36,,leasee,completed
60204,50318,12832,2004,1002,2025-02-18,24441.13,51755,finance,completed
60205,50515,14209,2025,1003,2026-05-30,42361.78,,LEASE,completed
60206,52567,12871,2021,1002,2026-05-24,10645.86,52918,leasee,completed
60207,50065,10857,2028,1004,2026-07-02,39489.82,53239,finance,completed
60208,52501,12838,2023,1003,2026-07-02,29092.62,,cash,completed
60209,52751,13889,2004,1005,2025-01-11,15376.97,,CASH,completed
60210,52697,13306,2009,1006,2026-06-23,50909.79,,Finance,completed
60211,50546,10544,2027,1006,2025-12-01,19951.13,50255,CASH,completed
60212,53827,11185,2003,1002,2026-03-30,44839.31,,CASH,completed
60213,53260,11450,2010,1004,2026-06-01,45123.89,50674,cash,completed
60214,50640,10769,2022,1003,2024-10-24,25554.2,51738,FINANCE,completed
60215,50839,13967,2020,1005,2025-07-25,52578.04,52080,finance,completed
60216,50582,11911,2015,1001,2025-04-21,21779.23,,cash,completed
60217,51071,12085,2011,1004,2026-05-27,38139.27,,lease ,completed
60218,52059,12211,2014,1001,2024-06-18,27395.92,,LEASE,completed
60219,53809,12314,2018,1003,2026-04-18,19115.62,51540,FINANCE,completed
60220,777777777,13093,2025,1001,2025-09-26,12444.24,54039,cash,completed
60221,52509,14668,2020,1003,2026-01-09,29348.44,53398,lease ,completed
60222,52277,10601,2011,1005,2025-07-17,-394.11,,FINANCE,completed
60223,52653,13252,2020,1003,2026-04-22,23440.83,,finance,completed
60224,52916,10305,2021,1006,2026-05-02,40906.29,,CASH,completed
60225,53715,11008,2002,1004,2024-08-16,21244.01,50175,Cash,completed
60226,50979,10616,2011,1001,2025-08-12,33510.37,,CASH,completed
60227,51834,15153,2023,1005,2025-05-28,45436.38,52357,Finance,completed
60228,50282,10816,2026,1001,2026-02-20,50864.98,,cash ,completed
60229,51885,13792,2010,1004,2025-06-11,19932.11,,lease ,completed
60230,52102,10008,2030,1002,2025-08-06,10170.47,,finance,completed
60231,51945,12925,2014,1002,2026-01-31,13473.18,51528,CASH,completed
60232,52348,10199,2018,1001,2024-04-25,45104.76,,lease,completed
60233,50393,12018,2007,1002,2025-08-16,32421.94,,Finance,completed
60234,51258,13446,2012,1004,2026-07-03,31314.65,,lease,completed
60235,52984,10876,2022,1004,2026-03-29,27880.83,,FINANCE,completed
60236,53462,15182,2007,1003,2026-05-11,16186.86,50328,finance,completed
60237,53468,11500,2001,1002,2026-06-26,40791.13,51323,lease,completed
60238,51001,12668,2003,1003,2026-03-25,38092.84,,finance,completed
60239,52526,10362,2002,1004,2024-10-11,44388.9,,Lease,completed
60240,51298,12557,2017,1004,2025-09-07,20894.59,,FINANCE,completed
60241,53744,999999999,2001,1004,2026-06-08,30112.23,52405,LEASE,completed
60242,51226,12127,2009,1001,2026-06-03,43082.59,,leasee,completed
60243,52754,13641,2018,1004,2025-12-22,21847.79,,Lease,completed
60244,53929,11167,2020,1006,2025-11-03,19441.59,,cash ,completed
60245,53891,10797,2021,1002,2025-10-08,42114.12,,finance,completed
60246,777777777,11256,2006,1001,2025-12-04,46130.48,53337,lease ,completed
60247,53461,11122,2018,1001,2026-04-28,17473.22,53816,finance,completed
60248,52691,13634,2009,1004,2025-09-16,16263.8,,cash,completed
