line_item_id,service_order_id,part_id,line_type,description,quantity,unit_price,line_total
90001,80001,,Labor,Labor - Brake Job,2,260.08,520.16
90002,80001,70471,PART,Spark Plug,3,447.86,1343.58
90003,80001,,LABOR,Diagnostic,3,129.55,388.65
90004,80001,,labor,Diagnostic,1,299.3,299.3
90005,80001,,LABOR,Labor - Brake Job,2,282.84,565.68
90006,80002,,Labor,Diagnostic,3,249.19,747.57
90007,80002,,labor,Labor - Oil Change,4,273.1,1092.4
90008,80003,70397,Part,Tire,2,292.38,584.76
90009,80003,,labor,Labor - Brake Job,2,191.55,383.1
90010,80003,70350,Part,Alternator,2,274.25,548.5
90011,80003,,LABOR,Labor - Inspection,4,195.84,783.36
90012,80003,70205,part,Brake Pad Set,2,850.43,1700.86
90013,80004,,labor,Labor - Inspection,1,235.96,235.96
90014,80004,70076,part,Tire,4,1330.16,5320.64
90015,80004,70122,PART,Spark Plug,2,294.75,589.5
90016,80005,70131,PART,Headlight Assembly,4,642.41,2569.64
90017,80005,,LABOR,Diagnostic,2,209.39,418.78
90018,80005,70236,Part,Battery,4,817.99,3271.96
90019,80005,70128,PART,Oil Filter,4,441.25,1765.0
90020,80005,70137,Part,Brake Pad Set,4,907.48,3629.92
90021,80006,,Labor,Labor - Oil Change,4,208.67,834.68
90022,80006,70225,Part,Oil Filter,3,604.53,1813.59
90023,80006,70474,PART,Oil Filter,1,313.92,313.92
90024,80006,,labor,Labor - Inspection,1,172.79,172.79
90025,80006,70438,part,Spark Plug,3,960.49,2881.47
90026,80007,70397,part,Tire,1,292.38,292.38
90027,80007,70100,PART,Brake Pad Set,2,1036.71,2073.42
90028,80007,70285,part,Oil Filter,2,909.62,1819.24
90029,80007,,labor,Labor - Brake Job,2,231.17,462.34
90030,80007,70396,Part,Brake Pad Set,3,836.47,2509.41
90031,80008,,Labor,Diagnostic,3,238.95,716.85
90032,80009,,LABOR,Labor - Oil Change,1,268.85,268.85
90033,80010,,labor,Diagnostic,4,131.57,526.28
90034,80010,,Labor,Diagnostic,3,238.42,715.26
90035,80010,70222,Part,Spark Plug,3,677.23,2031.69
90036,80010,,Labor,Labor - Brake Job,3,262.02,786.06
90037,80010,,LABOR,Labor - Oil Change,2,288.69,577.38
90038,80011,,Labor,Labor - Brake Job,3,94.93,284.79
90039,80011,70032,part,Alternator,3,318.07,954.21
90040,80012,70288,part,Radiator,4,510.72,2042.88
90041,80013,,Labor,Labor - Oil Change,3,92.9,278.7
90042,80013,70095,Part,Oil Filter,1,518.73,518.73
90043,80013,70361,part,Oil Filter,2,235.76,471.52
90044,80013,70155,Part,Spark Plug,1,652.09,652.09
90045,80013,,Labor,Labor - Inspection,1,127.44,127.44
90046,80014,,labor,Labor - Brake Job,4,178.49,713.96
90047,80014,,labor,Labor - Brake Job,4,205.5,822.0
90048,80015,70223,part,Headlight Assembly,2,924.62,1849.24
90049,80015,70181,part,Tire,3,282.11,846.33
90050,80015,70345,part,Radiator,3,236.7,710.1
90051,80015,70255,part,Battery,1,253.86,253.86
90052,80015,70273,part,Spark Plug,1,865.77,865.77
90053,80016,,Labor,Labor - Oil Change,3,186.6,559.8
90054,80016,70372,part,Headlight Assembly,3,511.0,1533.0
90055,80016,70405,Part,Battery,2,307.9,615.8
90056,80017,70239,PART,Radiator,3,321.36,964.08
90057,80017,70385,part,Brake Pad Set,4,775.15,3100.6
90058,80017,70347,Part,Radiator,1,950.77,950.77
90059,80017,70163,part,Radiator,4,520.43,2081.72
90060,80017,,LABOR,Labor - Brake Job,2,228.13,456.26
90061,80018,,labor,Diagnostic,3,265.24,795.72
90062,80019,70213,Part,Spark Plug,3,1059.48,3178.44
