service_order_id,vehicle_id,customer_id,technician_id,dealership_id,started_at,completed_at,odometer_reading,status,total_amount
80001,,13922,3016,1005,2026-01-26 23:28:43,2026-01-28 23:01:17.252898,97884,cancelled,3117.37
80002,51927,11641,3025,1006,2024-08-05 21:28:30,2024-08-08 06:30:52.329237,109423,completed,1839.97
80003,53749,12528,3002,1001,2026-02-05 21:25:58,2026-02-07 23:15:13.066774,99726,open,4000.58
80004,,12572,3011,1006,2026-04-22 14:18:46,2026-04-23 13:24:20.333748,16251,completed,6146.1
80005,53948,12056,3019,1004,2025-08-31 06:52:25,2025-09-02 03:54:31.745001,87093,completed,11655.3
80006,53060,13567,3011,1004,2026-03-22 11:09:45,2026-03-24 22:37:53.148845,95574,completed,6016.45
80007,50586,13603,3025,1006,2026-05-27 15:45:35,2026-05-29 15:56:07.385726,74872,in_progress,7028.95
80008,51035,12472,3003,1001,2025-10-14 20:58:03,2025-10-15 22:29:02.819437,2547,completed,716.85
80009,53586,10074,3002,1006,2024-07-25 17:05:49,2024-07-27 00:59:09.858693,65570,cancelled,268.85
80010,52811,15026,3018,1003,2025-04-20 06:27:33,2025-04-21 05:41:06.700300,7918,completed,4636.67
80011,52004,10360,3016,1002,2026-04-24 08:17:24,2026-04-25 16:33:29.735284,83066,open,1239.0
80012,51916,12125,3009,1002,2025-11-04 21:22:19,2025-11-06 18:01:36.159167,75872,open,2042.88
80013,53128,12023,3012,1003,2024-10-28 18:43:10,2024-10-30 03:13:30.361671,114548,completed,2048.48
80014,51051,10040,3025,1002,2024-08-08 23:34:59,2024-08-10 13:12:20.554850,79405,cancelled,1535.96
80015,50530,10074,3023,1001,2026-03-26 15:02:20,2026-03-28 11:58:13.340690,94463,completed,4525.3
80016,50185,10354,3006,1005,2026-06-10 01:07:40,2026-06-11 06:45:43.600524,71626,in_progress,2708.6
80017,50736,10100,3010,1001,2025-06-23 20:05:52,2025-06-24 22:45:38.382457,21896,completed,7553.43
80018,53744,15106,3002,1002,2025-08-24 14:57:51,2025-08-27 10:04:42.510792,113570,in_progress,795.72
80019,53871,12068,3015,1002,2024-09-21 10:59:25,2024-09-21 17:39:58.524512,88159,completed,3426.22
80020,52952,14405,3024,1006,2025-11-02 04:20:30,2025-11-04 04:21:18.315694,16961,open,639.02
80021,53563,10969,3020,1001,2026-06-24 17:05:01,2026-06-26 22:32:03.234909,28950,cancelled,9947.55
80022,53126,13560,3024,1005,2024-09-29 21:12:26,2024-10-02 06:51:09.830626,12312,open,8473.17
80023,50086,10496,3010,1006,2024-10-12 04:24:05,2024-10-12 05:11:50.312922,11113,completed,1687.48
80024,50994,10477,3005,1005,2026-05-21 22:00:30,2026-05-23 17:43:25.537607,14812,completed,5779.81
80025,53615,11097,3010,1003,2025-04-02 21:23:18,2025-04-05 19:01:42.134085,22773,completed,5867.25
80026,52073,12536,3013,1005,2024-12-08 17:16:40,2024-12-11 14:05:00.520600,6572,completed,1009.13
80027,52774,15070,3013,1004,2024-12-23 02:09:12,2024-12-24 11:41:53.521138,51865,cancelled,9858.84
80028,50483,15064,3014,1006,2025-12-29 17:42:07,2026-01-01 06:15:58.298894,24284,open,1370.56
80029,52788,10816,3019,1005,2024-07-24 21:55:33,2024-07-25 16:22:05.594024,106147,completed,1340.29
80030,52432,10700,3019,1005,2024-12-01 21:51:31,2024-12-01 23:42:12.709911,10014,completed,10491.65
80031,51281,12523,3021,1004,2025-04-10 17:44:48,2025-04-13 06:08:38.274329,103910,open,2848.88
80032,53651,14878,3006,1001,2025-05-31 07:07:30,2025-06-02 19:45:31.232526,86602,in_progress,2306.24
80033,52744,12059,3007,1001,2026-01-02 01:11:48,2026-01-03 05:50:38.012740,26540,in_progress,676.62
80034,51282,13162,3003,1004,2025-10-17 17:06:43,2025-10-19 20:16:21.701978,96090,completed,1961.32
80035,51281,12315,3014,1001,2026-05-30 20:30:43,2026-06-01 09:46:35.270840,49255,completed,6515.36
80036,,10745,3011,1006,2026-04-24 16:15:57,2026-04-27 05:41:12.022246,20554,completed,637.32
80037,52234,14412,3018,1003,2024-12-09 18:42:35,2024-12-10 22:44:18.065965,62752,completed,2057.85
80038,50527,14392,3015,1005,2026-01-23 12:43:26,2026-01-24 10:56:53.802225,9706,in_progress,839.78
80039,53775,11276,3003,1002,2025-12-05 13:11:57,2025-12-07 12:08:16.951013,72572,open,4053.46
80040,52984,15002,3002,1005,2024-09-30 18:12:44,2024-10-03 05:18:51.111959,99209,completed,1203.51
80041,52503,13336,3023,1006,2025-04-05 20:04:06,2025-04-08 18:53:48.692251,41800,open,2593.23
80042,52898,10248,3013,1006,2025-02-26 09:55:47,2025-02-26 10:36:08.875270,18101,completed,1977.45
80043,54013,13145,3015,1002,2026-02-25 22:27:14,2026-02-26 16:54:32.532213,90575,open,5785.79
80044,53438,13779,3021,1006,2025-12-11 16:06:07,2025-12-14 04:15:51.372055,65063,in_progress,1574.58
80045,53109,12357,3021,1004,2026-05-20 03:43:47,2026-05-22 08:37:09.884953,93889,cancelled,5697.28
80046,50635,12697,3002,1006,2025-07-18 04:24:24,2025-07-20 00:43:08.999936,49019,in_progress,8532.38
80047,53232,13245,3015,1002,2024-11-25 07:01:30,2024-11-26 04:44:29.307742,44090,in_progress,4414.36
80048,50130,10494,3011,1006,2025-01-26 18:31:13,2025-01-29 14:11:24.628941,82913,completed,789.17
80049,53065,14925,3004,1001,2026-04-10 05:13:38,2026-04-11 01:04:50.028171,89339,in_progress,4897.09
80050,51820,13007,3022,1006,2026-01-04 20:55:29,2026-01-06 18:07:36.159985,68234,completed,14478.26
80051,53077,13654,3008,1003,2025-09-20 06:00:34,2025-09-22 08:36:32.065341,35222,in_progress,7590.56
80052,53141,11233,3007,1001,2026-05-16 04:42:07,2026-05-17 12:21:57.837962,7108,completed,1503.16
80053,53184,10521,3001,1005,2024-10-15 04:22:40,2024-10-15 11:04:42.329849,81880,completed,1349.04
80054,53853,13507,3007,1006,2026-05-29 10:07:01,2026-05-31 13:39:16.815520,89621,in_progress,1255.64
80055,52150,15124,3022,1006,2026-05-20 09:29:00,2026-05-21 18:43:06.706415,79782,open,1045.24
80056,53493,13878,3012,1005,2026-07-02 05:58:39,2026-07-04 09:30:55.509290,52707,in_progress,5123.21
80057,52535,11753,3013,1004,2025-06-04 23:54:29,2025-06-07 21:17:43.290606,53897,completed,891.52
80058,53887,13906,3012,1006,2025-02-13 08:02:24,2025-02-14 15:16:47.335798,61735,completed,169.57
80059,52022,11846,3025,1002,2024-08-15 23:35:25,2024-08-18 14:22:48.130399,64366,open,3040.96
80060,53123,10460,3015,1002,2025-10-21 18:35:45,2025-10-24 04:55:09.990849,99154,completed,1165.45
80061,,10779,3005,1002,2024-11-01 00:51:33,2024-11-03 10:29:34.310218,17232,completed,1645.76
80062,,14849,3009,1005,2025-07-10 20:52:26,2025-07-13 00:42:31.393803,46180,completed,3591.15
80063,53971,12599,3023,1003,2025-05-28 05:37:47,2025-05-30 04:12:50.283976,72694,completed,17911.92
80064,53403,15007,3010,1003,2025-11-10 17:27:26,2025-11-12 02:52:25.670466,110440,cancelled,2918.58
80065,52184,12089,3008,1003,2026-04-11 19:01:57,2026-04-13 06:26:05.266258,32224,completed,3646.56
80066,,11842,3005,1003,2024-11-24 09:15:57,2024-11-24 21:23:56.012505,59451,completed,8488.43
80067,,13683,3007,1003,2025-09-02 17:09:51,2025-09-03 12:48:34.360252,32211,completed,4460.28
80068,51597,14592,3003,1004,2025-12-10 06:27:21,2025-12-12 14:14:08.808406,108187,open,429.75
80069,50592,11356,3024,1002,2025-07-27 18:42:01,2025-07-29 17:03:45.583125,21654,in_progress,2556.76
80070,50038,14029,3012,1004,2025-07-08 15:17:32,2025-07-11 04:35:53.874712,84166,completed,2833.74
80071,53694,14519,3014,1005,2025-04-26 00:46:17,2025-04-28 06:53:46.819166,87955,completed,631.84
80072,51071,11803,3008,1003,2024-12-16 00:15:41,2024-12-16 16:28:54.464914,18905,completed,3251.25
80073,,14869,3010,1001,2025-10-09 18:40:30,2025-10-12 17:11:39.056382,54510,completed,6565.95
80074,53144,13477,3015,1004,2026-01-04 09:59:42,2026-01-06 18:52:07.169164,40646,open,1522.36
80075,50081,14742,3016,1003,2025-03-08 09:23:34,2025-03-10 00:24:14.087042,57356,cancelled,4754.62
80076,50293,15088,3006,1006,2026-06-23 19:24:58,2026-06-24 19:09:31.563347,2584,completed,3486.65
80077,51734,12446,3012,1006,2026-02-16 01:20:48,2026-02-16 10:56:49.283546,48099,completed,472.4
80078,53975,10475,3013,1002,2024-12-27 06:57:58,2024-12-29 20:07:26.944515,13903,in_progress,3228.18
80079,52033,14854,3025,1006,2026-03-20 04:25:05,2026-03-20 10:06:59.566178,119311,open,2417.11
80080,52779,12742,3012,1002,2025-11-01 06:18:23,2025-11-03 10:21:34.123991,45526,completed,2023.83
80081,52540,11398,3025,1005,2025-08-05 20:15:00,2025-08-07 13:03:57.128584,81796,completed,2083.62
80082,52402,12535,3022,1006,2024-11-17 13:13:10,2024-11-17 23:23:22.270090,1650,cancelled,3687.37
80083,,12611,3020,1002,2024-09-01 05:58:53,2024-09-02 07:17:01.372464,17969,in_progress,3889.65
80084,51522,11995,3018,1003,2026-03-09 02:30:38,2026-03-11 08:14:29.452545,8966,completed,1783.04
80085,51356,15097,3021,1002,2025-10-31 19:52:28,2025-11-02 17:24:54.086226,45901,completed,9006.5
80086,50499,10634,3001,1005,2025-05-13 06:06:59,2025-05-15 10:04:34.451316,106764,completed,121.22
80087,51212,10856,3008,1004,2026-04-09 17:00:41,2026-04-11 11:45:31.561784,61908,completed,7444.76
80088,50952,12356,3011,1001,2026-05-17 22:21:43,2026-05-17 23:56:14.594513,73315,completed,5533.6
80089,51754,10184,3019,1002,2024-12-14 02:30:42,2024-12-14 08:45:03.104271,38586,completed,3657.7
80090,53445,11150,3013,1001,2026-06-14 07:41:36,2026-06-15 11:41:12.048475,118667,completed,6678.7
80091,53382,12913,3012,1003,2026-01-02 04:43:56,2026-01-03 00:12:12.679805,105355,cancelled,237.12
80092,50078,13605,3022,1001,2025-04-17 00:53:33,2025-04-17 21:27:35.403480,42061,completed,2255.38
80093,,10548,3011,1006,2024-11-28 18:37:43,2024-11-30 13:30:25.503248,50205,cancelled,132.24
80094,50396,11170,3006,1004,2025-04-13 11:42:43,2025-04-14 14:35:30.674498,80779,completed,855.88
80095,,10965,3011,1004,2025-07-06 08:12:00,2025-07-08 22:58:14.366996,20473,open,8146.32
80096,52276,12051,3020,1005,2024-10-28 21:32:10,2024-10-30 07:47:08.399440,98784,completed,4167.74
80097,52062,12398,3025,1006,2026-06-18 13:48:01,,61836,completed,1439.82
80098,53310,13631,3006,1001,2026-05-24 19:17:45,2026-05-25 23:51:58.742310,31940,open,2518.94
80099,50721,13754,3014,1001,2026-02-18 18:02:19,2026-02-19 08:04:17.168858,116821,completed,5036.5
80100,52753,12749,3019,1002,2026-03-23 17:29:19,2026-03-25 22:11:26.627244,5629,completed,4914.63
80101,,11180,3016,1003,2024-07-20 00:48:38,2024-07-20 19:52:30.020419,96067,open,4745.02
80102,50038,12366,3008,1001,2024-12-16 04:01:05,2024-12-17 11:22:04.334316,54972,completed,4331.76
80103,51959,11161,3007,1003,2026-04-05 23:52:17,2026-04-08 23:32:51.290765,101702,completed,1394.92
80104,52462,11009,3015,1003,2024-12-14 04:25:25,2024-12-14 07:59:25.089262,72781,cancelled,1702.95
80105,52778,14336,3009,1003,2025-07-23 08:53:30,2025-07-25 10:22:48.062430,96792,cancelled,1996.32
80106,51547,11799,3013,1003,2026-02-02 13:19:36,2026-02-03 13:01:00.713257,47609,cancelled,1914.33
80107,53039,13928,3006,1005,2025-04-09 11:40:40,2025-04-12 06:03:42.822426,100692,in_progress,3906.29
80108,52296,15005,3016,1006,2024-09-15 03:46:30,2024-09-17 08:59:27.393168,1615,cancelled,1459.33
80109,51414,13799,3015,1004,2025-03-02 01:56:44,2025-03-02 07:35:57.017192,92566,in_progress,9848.24
80110,,13904,3001,1003,2026-06-13 18:36:54,2026-06-15 04:25:23.461283,25818,completed,5038.03
