vehicle_id,vin,make,model,model_year,trim,color,mileage,condition,acquisition_date,list_price,cost,status,title_status,dealership_id
50001,N4T14R6D47Y4WVBPF,Jeep,Grand Cherokee,2020,Limited,White,15488,new,2023-10-07,14744.77,13221.45,sold,salvage,1002
50002,RLG2XZXAK1V0AZP2D,Honda,Civic,2023,LE,White,64721,used,2023-08-06,22758.21,17633.56,sold,salvage,1005
50003,19AGB2YMZVWNCXMP4,Nissan,Frontier,2017,XLE,Green,83134,certified,2024-02-08,53306.72,43551.56,sold,rebuilt,1001
50004,ZDMVA5R579FDT90GZ,Hyundai,Tucson,2025,Base,Blue,18258,new,2024-12-18,10751.56,8660.87,pending,rebuilt,1003
50005,TA968ZEX2LJHN6CE2,Nissan,Rogue,2024,Limited,Silver,"40,411 mi",used,2024-02-27,24200.19,18948.8,sold,salvage,1006
50006,WGXM9WJ6186UG4YS5,Toyota,RAV4,2020,Sport,Blue,90647,certified,2024-01-17,49434.68,39331.04,pending,rebuilt,1004
50007,00JWE8H48W8LX3SUP,BMW,X3,2018,XLE,Black,8921,certified,2024-02-16,18479.51,15621.11,sold,,1001
50008,FJCF6W6TFX74GUJN9,Handa,Civic,2016,LE,Blue,35118,new,2025-05-09,56121.43,42184.71,pending,SALVAGE,1001
50009,M605UN3VLYUMW6DM1,Ford,Explorer,2025,Base,Blue,1146,new,2025-04-01,36897.33,33658.26,in_stock,rebuilt,1003
50010,SH5B93SPWUZR50CMB,Nissan,Pathfinder,2019,Limited,Blue,91620,used,2024-08-17,33166.49,30442.54,sold,clean,1003
50011,UVGV6DTV6XFZS8L2B,Hyundai,Elantra,2022,Base,Red,67834,certified,2026-01-14,32434.98,28613.61,sold,clean,1002
50012,JU4XXNAKKMLHJ9G2B,Chevrolet,Traverse,2019,XLE,Green,61943,used,2025-08-05,45830.63,43446.13,sold,rebuilt,1005
50013,FTULLPNJM9W42H5FC,Chevrolet,Equinox,2024,Base,Green,18112,used,2026-03-03,14882.79,13530.72,sold,clean,1005
50014,ZZWT5JK7BDT8TTLMY,Hyundai,Tucson,2025,Sport,White,90814,certified,2025-09-05,45372.74,41884.67,sold,clean ,1001
50015,D2ASA68S41709Z58F,Chevrolet,Tahoe,2021,Sport,Green,57402,new,2025-04-10,46154.27,39807.99,sold,clean,1002
50016,VDX4V61GL6HKC62KU,Chevrolet,Equinox,2024,Base,Red,4885,certified,2024-10-27,18071.07,16228.17,sold,rebuilt,1005
50017,BEH5XYY266V7S0HC3,Jeep,Wrangler,2023,XLE,Green,58965,used,2025-12-05,41237.32,32309.77,sold,,1003
50018,9DSBLVJRAAPRWH7HX,Nissan,Frontier,2021,Base,Green,16313,used,2024-02-25,45395.6,37237.09,sold,rebuilt,1002
50019,RGK0BU9G806RJMJ7C,Chevrolet,Silverado,2025,Limited,White,48388,new,2024-10-19,21997.72,16502.93,sold,clean,1005
